artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Mary J. Blige;Rainy Dayz;276373;2001;68.942;pop, R&B;0.667;6;-6.997
Fort Minor;Where'd You Go (feat. Holly Brook & Jonah Matranga);231866;2005;179.999;hip hop, pop, rock;0.819;1;-3.309
The Offspring;You're Gonna Go Far, Kid;177826;2008;126.115;rock, pop, metal;0.917;0;-3.159
Aaliyah;Rock The Boat;275026;2019;92.988;hip hop, pop, R&B;0.72;5;-5.209
Jennifer Lopez;Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix;187840;2002;100.0;hip hop, pop, R&B;0.768;6;-5.448
Jay Rock;King's Dead (with Kendrick Lamar, Future & James Blake);229670;2018;137.133;hip hop, pop;0.705;1;-5.008
X Ambassadors;Renegades;195200;2015;90.052;hip hop, rock, pop;0.862;2;-6.003
Marilyn Manson;Tainted Love;200426;2003;142.017;rock, metal;0.876;8;-7.779
Anuel AA;Secreto;258800;2019;91.987;latin;0.803;11;-4.156
Jay Sean;Eyes On You - Radio Mix;190493;2004;96.525;hip hop, pop, R&B;0.672;7;-4.971
Jibbs;Chain Hang Low;207586;2006;157.147;hip hop, pop;0.589;4;-6.869
Snoop Dogg;Beautiful;299146;2005;101.025;hip hop, pop;0.74;11;-4.936
Matchbox Twenty;Unwell;228706;2002;80.718;pop, rock;0.788;6;-5.263
Dua Lipa;New Rules;212000;2017;116.01;pop;0.72;9;-5.181
Dean Lewis;Be Alright;196373;2018;126.684;pop;0.586;11;-6.319
Example;Changed the Way You Kiss Me - Radio Edit;195466;2011;126.979;pop, Dance/Electronic;0.857;4;-3.78
Justin Timberlake;My Love (feat. T.I.);276160;2006;119.952;pop;0.68;11;-5.881
Bobby Shmurda;Hot N*gga;194561;2014;167.879;hip hop, pop;0.51;9;-7.314
Lucenzo;Danza Kuduro (feat. Don Omar);213986;2011;130.003;latin;0.942;7;-6.365
Lil Uzi Vert;XO Tour Llif3;182706;2017;155.096;hip hop;0.75;11;-6.366
Britney Spears;Everytime;230306;2003;109.599;pop;0.284;3;-12.852
Creed;With Arms Wide Open;274800;1999;138.852;pop, rock, metal;0.539;0;-8.412
Dr. Dre;I Need A Doctor;283733;2011;155.826;hip hop;0.946;3;-4.521
XXXTENTACION;Moonlight;135090;2018;128.009;hip hop;0.537;9;-5.723
Camille Jones;The Creeps - Fedde Le Grand Radio Mix;152333;2006;127.894;set();0.861;6;-6.632
Fuel;Hemorrhage (In My Hands);236866;2000;152.034;rock, pop, metal;0.831;1;-3.894
Mary J. Blige;Family Affair;265866;2001;92.887;pop, R&B;0.551;8;-3.75
Britney Spears;Oops!...I Did It Again;211160;2000;95.053;pop;0.834;1;-5.444
Zara Larsson;Lush Life;202213;2015;98.024;pop, Dance/Electronic;0.741;7;-2.86
Tory Lanez;Say It;237786;2016;107.331;hip hop, pop, R&B;0.529;11;-10.511
Craig David;Rise & Fall (feat. Sting);287226;2002;83.373;hip hop, pop, R&B;0.589;6;-7.51
Crazy Town;Butterfly;216733;1999;103.502;rock, metal;0.811;9;-4.17
Kylie Minogue;Spinning Around;207866;2000;120.043;pop, Dance/Electronic;0.662;6;-7.645
Kevin Lyttle;Turn Me On;192106;2004;106.279;hip hop;0.682;9;-6.879
Scooter;Nessaja;208449;2013;143.048;pop, Dance/Electronic;0.904;2;-6.642
Drake;God's Plan;198973;2018;77.169;hip hop, pop, R&B;0.449;7;-9.211
Plies;Hypnotized (feat. Akon);188493;2007;116.59;hip hop, pop, R&B;0.571;10;-7.421
Ciara;Get Up (feat. Chamillionaire);261880;2006;128.593;pop, R&B;0.595;1;-6.887
Dr. Dre;Forgot About Dre;222293;1999;133.974;hip hop;0.74;8;-1.299
Joe;I Wanna Know;296693;2000;136.086;pop, R&B;0.487;8;-5.959
Foo Fighters;Best of You;255626;2005;130.198;rock, metal;0.94;1;-5.119
Kanye West;Homecoming;203493;2007;86.917;hip hop;0.747;1;-7.059
Backstreet Boys;Incomplete;239586;2005;133.631;pop;0.589;4;-4.834
Liberty X;Just A Little;237359;2019;103.887;pop;0.614;5;-6.554
Post Malone;Goodbyes (Feat. Young Thug);174960;2019;150.231;hip hop;0.653;5;-3.818
Gigi D'Agostino;L'Amour Toujours;238759;2011;139.066;pop;0.728;7;-7.932
Fergie;London Bridge;241306;2006;90.951;pop, R&B;0.609;1;-5.894
The xx;Intro;127920;2009;100.363;rock;0.778;9;-8.871
Young Thug;The London (feat. J. Cole & Travis Scott);200106;2019;97.981;hip hop, pop;0.586;4;-6.946
Chris Brown;Turn Up the Music;227973;2012;129.925;hip hop, pop, R&B;0.841;1;-5.792
Diddy;I Need a Girl (Pt. 1) [feat. Usher & Loon];268800;2005;89.279;hip hop, pop;0.707;6;-5.758
Donell Jones;"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)";243733;1999;103.032;pop, R&B;0.543;8;-6.166
Taylor Swift;I Knew You Were Trouble.;219720;2012;77.019;pop;0.469;3;-6.798
Rich Homie Quan;Flex (Ooh, Ooh, Ooh);176674;2015;163.993;hip hop, pop;0.615;6;-7.534
Jack Ü;Where Are Ü Now (with Justin Bieber);250285;2015;139.432;pop, Dance/Electronic;0.781;4;-4.038
WILLOW;Wait a Minute!;196520;2015;101.003;pop, R&B, Dance/Electronic;0.705;3;-5.279
The Pussycat Dolls;When I Grow Up;245680;2008;118.449;pop, R&B;0.685;11;-5.762
P!nk;Most Girls;298960;2000;97.922;pop;0.732;2;-6.046
Lloyd;Get It Shawty;209533;2007;128.014;hip hop, pop, R&B;0.905;5;-4.032
Enrique Iglesias;Tonight (I'm Fuckin' You);232213;2010;125.953;pop, latin;0.89;0;-3.982
Saving Abel;Addicted;222826;2008;138.018;rock, metal;0.864;7;-4.146
Ashanti;Only U - No Intro;186306;2004;94.547;hip hop, pop, R&B;0.621;6;-5.576
Craig David;7 Days;235133;2000;83.014;hip hop, pop, R&B;0.812;4;-7.499
One Direction;Night Changes;226600;2014;120.001;pop;0.52;8;-7.747
Fetty Wap;679 (feat. Remy Boyz);196693;2015;190.05;hip hop, pop;0.717;7;-5.738
Avant;Read Your Mind;263506;2003;73.108;pop, R&B;0.381;8;-6.696
Lily Allen;Not Fair;201213;2009;121.491;pop;0.861;5;-6.982
Coldplay;Clocks;307879;2002;130.97;rock, pop;0.749;5;-7.215
James Morrison;Wonderful World;210066;2006;78.969;pop, R&B;0.71;1;-4.606
Tom Jones;Sexbomb;211893;1999;122.979;rock, Folk/Acoustic, easy listening;0.876;8;-3.94
Natasha Bedingfield;Unwritten;259333;2004;100.011;pop;0.8;5;-6.333
Justin Timberlake;Rock Your Body;267266;2002;100.972;pop;0.714;4;-6.055
Galantis;No Money;189126;2016;126.01;pop, Dance/Electronic;0.916;6;-4.014
Kanye West;All Falls Down;223506;2004;91.03;hip hop;0.734;8;-4.832
Savage Garden;Crash and Burn;281466;1999;102.03;pop;0.607;4;-8.458
Jennifer Lopez;All I Have (feat. LL Cool J);254466;2002;83.066;hip hop, pop, R&B;0.669;1;-5.265
Passenger;Let Her Go;252866;2012;75.089;pop;0.538;7;-7.335
Jax Jones;Breathe;207629;2017;125.985;hip hop, pop, Dance/Electronic;0.744;11;-5.52
Keyshia Cole;Love;255333;2005;116.714;hip hop, pop, R&B;0.519;5;-4.285
Bruno Mars;It Will Rain;257720;2011;150.017;pop;0.835;2;-6.826
The Chainsmokers;Something Just Like This;247160;2017;103.019;pop, Dance/Electronic;0.635;11;-6.769
Fragma;Everytime You Need Me - Radio Version;213346;2001;137.029;pop, Dance/Electronic;0.917;11;-5.459
Kendrick Lamar;HUMBLE.;177000;2017;150.018;hip hop;0.625;1;-6.779
Klangkarussell;Sonnentanz - Sun Don't Shine;238120;2014;119.74;pop, Dance/Electronic;0.549;5;-8.262
Desiigner;Tiimmy Turner;239853;2016;122.803;hip hop, pop;0.725;6;-3.054
DJ Fresh;Gold Dust - Radio Edit;192446;2010;176.985;pop, Dance/Electronic;0.948;0;-0.74
U2;Vertigo;193520;2004;140.083;World/Traditional, rock;0.819;9;-3.974
G-Eazy;Me, Myself & I;251466;2015;111.995;hip hop, pop;0.674;0;-6.518
Zedd;The Middle;184732;2018;107.01;hip hop, pop, Dance/Electronic;0.657;7;-3.061
Blake Shelton;Honey Bee;210720;2011;205.57;country;0.849;4;-5.131
*NSYNC;Girlfriend;253600;2001;93.967;pop;0.807;0;-5.191
Alicia Keys;Diary (feat. Tony! Toni! Tone! & Jermaine Paul);284160;2003;127.932;pop, R&B;0.465;8;-9.711
Christina Aguilera;I Turn to You;273706;1999;127.177;pop;0.47;1;-8.356
James Morrison;You Give Me Something;213173;2006;79.753;pop, R&B;0.688;7;-6.496
Nas;I Can;253720;2002;95.313;hip hop;0.885;6;-3.914
Justin Timberlake;Mirrors;484146;2013;76.899;pop;0.512;5;-6.664
Calvin Harris;Feels (feat. Pharrell Williams, Katy Perry & Big Sean);223413;2017;101.018;hip hop, pop, Dance/Electronic;0.745;11;-3.105
